#{"t_start": 1686537962.0097654, "env_id": null}
r,l,t
0.05,5,56.982586
0.36,4,58.940393
0.09,1,59.395452
0.44,6,62.234433
0.09,1,62.772923
-0.02,2,63.758684
0.05,5,66.16917
0.09,1,66.671757
0.49,31,81.027812
0.17,3,82.46248
-11.02,42,101.719172
0.07,3,103.146939
0.35,5,105.529713
0.08,2,106.434555
0.15,5,108.716285
0.06,4,110.585478
0.26,4,112.529819
-10.3,30,126.221179
-7.8,60,153.66153
0.11,9,157.702253
-15.73,43,177.333785
0.25,5,179.57142
-9.26,16,187.03557
-10.36,16,194.623278
-0.02,2,195.59059
-11.42,27,207.584049
-0.02,2,208.461299
3.62,28,221.167434
-0.02,2,222.160396
0.06,4,223.921793
-0.01,1,224.324407
0.32,8,228.212628
0.09,1,228.709016
0.32,8,232.748284
0.16,4,234.546923
0.16,4,236.430196
0.14,6,239.484051
0.49,11,244.710212
0.06,4,246.637612
-10.98,23,257.326364
-4.59,9,261.530338
0.12,8,265.189519
-0.02,2,266.130097
9.57,33,281.09476
-1.03,38,298.341849
-2.59,9,302.450564
-0.01,1,302.940046
-0.01,1,303.442423
-4.79,9,307.482132
0.05,5,310.00063
-1.85,5,312.25768
-0.75,5,314.588852
0.15,5,316.955656
0.15,5,319.327587
0.22,8,323.117306
-10.84,24,334.239615
0.33,32,349.044221
-0.02,2,350.058699
-0.7,10,354.528721
-0.78,8,358.349841
0.04,6,361.311561
-2.58,8,365.112365
9.7,45,385.598972
0.44,6,388.378651
0.09,1,388.864523
-10.12,32,403.191303
0.88,22,413.098855
0.07,3,414.586245
0.07,3,416.000771
0.09,1,416.446893
-0.01,1,416.954013
-0.04,4,418.764204
0.6,20,427.943292
-0.02,2,428.863183
0.08,2,429.869774
0.16,4,431.752116
-0.03,3,433.211999
0.08,2,434.162606
0.09,1,434.627326
0.08,2,435.643805
0.16,4,437.471599
0.67,13,443.421992
0.06,4,445.319572
-23.17,42,464.283544
0.09,1,464.807166
0.41,9,468.786335
0.97,23,479.379609
0.08,2,480.337183
0.25,5,482.658516
0.06,4,484.39663
0.52,8,488.146893
0.18,2,489.047198
0.9,20,498.181973
0.44,6,500.675076
-0.02,2,501.3341
0.09,1,501.679777
0.21,9,504.848804
0.19,11,508.653833
-2.57,17,514.345834
0.05,5,516.09074
-19.6,45,531.035488
-0.02,2,531.650887
0.1,10,535.0121
0.16,4,536.402809
0.12,18,542.271327
0.01,19,548.469235
0.42,23,555.998453
-0.01,1,556.352776
-26.5,55,574.125567
0.06,4,575.506849
0.08,2,576.217515
-0.03,3,577.191958
0.18,2,577.829616
0.16,4,579.173729
0.24,6,581.184182
0.08,2,581.867695
0.17,3,582.910877
0.08,2,583.633835
0.66,24,591.527723
-0.03,3,592.531129
0.09,1,592.88207
-0.01,1,593.25254
-0.01,1,593.617113
0.08,2,594.3069
0.06,4,595.681324
0.08,2,596.336066
0.09,1,596.660577
0.07,3,597.675981
0.08,2,598.412153
0.17,3,599.551097
-0.02,2,600.280147
0.27,3,601.252834
-0.02,2,601.935705
0.08,2,602.570308
0.26,14,607.259549
0.18,2,607.901217
-0.02,2,608.569592
0.32,8,611.196333
-2.85,15,616.168117
-3.9,20,622.95237
0.19,11,626.747636
0.1,10,630.069512
